id,text,category
1,Government passes new policy for rural development,Politics
2,India wins cricket series against Australia,Sports
3,New AI technology launched by Google,Tech
4,Bollywood movie breaks box office records,Entertainment
5,Election results to be announced tomorrow,Politics
6,Olympics 2024 preparations in full swing,Sports
7,Apple releases latest iPhone with advanced features,Tech
8,Famous singer releases new album,Entertainment
9,Parliament debates new tax reforms,Politics
10,Football world cup final draws record viewers,Sports
11,Tesla introduces self-driving car update,Tech
12,Popular actor wins national award,Entertainment
